lat,lon
14.5154047,121.0393652
14.6496495,121.1193328
14.5267131,121.0253550
14.6975201,121.0524466
14.5958344,120.9782922
14.6821161,121.0478545
14.6720076,121.1160617
14.6480842,121.0901731
14.6337148,121.0665811
14.6463344,121.0522750
14.7742886,121.0377630
14.7031439,120.9690378
14.7552999,121.0437310
14.4704783,121.0358972
14.6323266,120.9918901
14.5094592,121.0558297
14.7518375,121.0153480
14.6426219,121.1099161
14.6744642,121.0345098
14.6233381,120.9924124
14.3924182,121.0505007
14.6367908,121.0314029
14.7506292,121.0631106
14.6652080,121.0706300
14.5999617,120.9802528
14.6172909,121.0506180
14.5951272,120.9878691
14.6052244,121.0088607
14.5694460,121.0660107
14.6476967,121.0713597
14.6508981,121.1075018
14.5678259,121.0474967
14.6249587,120.9894416
14.4659516,121.0174443
14.5775947,121.0184391
14.6982864,120.9768974
14.5958508,121.1120649
14.5496115,121.0288499
14.5900408,121.0006881
14.4863602,121.0116362
14.5159214,121.0442761
14.5249684,121.0539198
14.6594305,121.1249054
14.4568187,120.9774220
14.5167180,120.9905442
14.6932812,121.0661050
14.5941765,121.0620636
14.5778736,121.0121915
14.7668001,121.0417884
14.6928929,121.0675732
14.4843273,121.0429068
14.6519246,120.9973535
14.7589314,121.0605642
14.5656703,121.0608899
14.6283140,121.0134664
14.6974466,121.0840996
14.5559653,121.0928819
14.6243323,120.9632318
14.6260240,121.0832893
14.6744654,120.9792647
14.5822706,121.0810558
14.5265324,121.0699632
14.7343037,121.0547789
14.6558273,121.0943436
14.6619812,120.9970215
14.7101834,121.0710481
14.7037271,120.9671824
14.5232594,120.9993584
14.7662018,121.0746910
14.6728387,121.0497468
14.5302808,121.0101163
14.5406252,120.9811310
14.6776510,121.0302508
14.7554307,120.9960917
14.6135675,121.0294722
14.5352534,121.0568190
14.6156703,120.9989393
14.5641803,121.0996741
14.5631069,121.0957628
14.5547441,121.0225728
14.6063544,120.9681925
14.5222579,121.0675990
14.6847792,121.0228063
14.6178296,121.0540332
14.5283145,121.0048928
14.5568883,121.0132445
14.5450709,121.0233400
14.6575730,121.0657758
14.5476885,121.0390605
14.4440763,120.9872055
14.6269673,121.0293270
14.5631315,121.0915517
14.6489341,121.1180408
14.6523607,120.9717835
14.5681640,121.0307636
14.5171938,120.9963310
14.4585135,120.9820233
14.6279672,121.0485506
14.6952384,121.0344287
14.4625852,121.0517356
14.4714667,121.0214773
14.5728127,121.0601530
14.5248110,121.0157809
14.5893357,121.0008212
14.7023647,121.0913015
14.7026228,121.0205548
14.6979976,121.0158929
14.3645975,121.0053197
14.6701633,120.9464344
14.6683196,120.9504670
14.6122042,120.9614001
14.6449278,120.9719924
14.7052143,120.9540786
14.4654602,121.0121204
14.5805886,121.0200307
14.6317053,121.0212220
14.7218518,121.0350840
14.7157317,120.9533027
14.4505809,120.9933344
14.6457517,121.0477924
14.7354001,120.9514805
14.5240682,121.0430074
14.5947007,120.9743802
14.5541561,121.0093610
14.5768113,121.0251342
14.6964631,121.0413125
14.7695526,121.0798830
14.5470576,121.0463567
